"filename", "language", "JavaScript", "Markdown", "JSON", "comment", "blank", "total"
"d:\Developer\Projects\React Native\innobox-mobile\App.js", "JavaScript", 19, 0, 0, 0, 4, 23
"d:\Developer\Projects\React Native\innobox-mobile\README.md", "Markdown", 0, 2, 0, 0, 1, 3
"d:\Developer\Projects\React Native\innobox-mobile\app.json", "JSON", 0, 0, 30, 0, 1, 31
"d:\Developer\Projects\React Native\innobox-mobile\babel.config.js", "JavaScript", 10, 0, 0, 0, 1, 11
"d:\Developer\Projects\React Native\innobox-mobile\hooks\useCustomFonts.js", "JavaScript", 17, 0, 0, 2, 5, 24
"d:\Developer\Projects\React Native\innobox-mobile\package-lock.json", "JSON", 0, 0, 15135, 0, 1, 15136
"d:\Developer\Projects\React Native\innobox-mobile\package.json", "JSON", 0, 0, 46, 0, 1, 47
"d:\Developer\Projects\React Native\innobox-mobile\src\components\CustomDrawerHeader.js", "JavaScript", 28, 0, 0, 1, 4, 33
"d:\Developer\Projects\React Native\innobox-mobile\src\components\GradientButton.js", "JavaScript", 55, 0, 0, 2, 7, 64
"d:\Developer\Projects\React Native\innobox-mobile\src\components\GradientText.js", "JavaScript", 28, 0, 0, 2, 4, 34
"d:\Developer\Projects\React Native\innobox-mobile\src\components\OpenAiPromptHandler.js", "JavaScript", 26, 0, 0, 1, 8, 35
"d:\Developer\Projects\React Native\innobox-mobile\src\data\firebaseConfig.js", "JavaScript", 34, 0, 0, 1, 6, 41
"d:\Developer\Projects\React Native\innobox-mobile\src\data\toneOptions.js", "JavaScript", 108, 0, 0, 0, 1, 109
"d:\Developer\Projects\React Native\innobox-mobile\src\navigation\AppNavigator.js", "JavaScript", 130, 0, 0, 2, 10, 142
"d:\Developer\Projects\React Native\innobox-mobile\src\routes\ContextRoute.js", "JavaScript", 160, 0, 0, 2, 14, 176
"d:\Developer\Projects\React Native\innobox-mobile\src\routes\EmailRoute.js", "JavaScript", 148, 0, 0, 1, 11, 160
"d:\Developer\Projects\React Native\innobox-mobile\src\routes\ResponseRoute.js", "JavaScript", 103, 0, 0, 3, 8, 114
"d:\Developer\Projects\React Native\innobox-mobile\src\screens\AuthenticationScreen.js", "JavaScript", 205, 0, 0, 2, 14, 221
"d:\Developer\Projects\React Native\innobox-mobile\src\screens\MultiTabScreen.js", "JavaScript", 69, 0, 0, 3, 8, 80
"d:\Developer\Projects\React Native\innobox-mobile\src\screens\SettingsScreen.js", "JavaScript", 186, 0, 0, 1, 16, 203
"d:\Developer\Projects\React Native\innobox-mobile\src\store\actionTypes.js", "JavaScript", 3, 0, 0, 1, 1, 5
"d:\Developer\Projects\React Native\innobox-mobile\src\store\actions\aiResponseActions.js", "JavaScript", 5, 0, 0, 1, 2, 8
"d:\Developer\Projects\React Native\innobox-mobile\src\store\actions\emailActions.js", "JavaScript", 17, 0, 0, 1, 4, 22
"d:\Developer\Projects\React Native\innobox-mobile\src\store\actions\settingsActions.js", "JavaScript", 8, 0, 0, 1, 2, 11
"d:\Developer\Projects\React Native\innobox-mobile\src\store\actions\tabActions.js", "JavaScript", 5, 0, 0, 1, 2, 8
"d:\Developer\Projects\React Native\innobox-mobile\src\store\index.js", "JavaScript", 8, 0, 0, 1, 3, 12
"d:\Developer\Projects\React Native\innobox-mobile\src\store\reducers\aiResponseReducer.js", "JavaScript", 13, 0, 0, 1, 4, 18
"d:\Developer\Projects\React Native\innobox-mobile\src\store\reducers\emailReducer.js", "JavaScript", 23, 0, 0, 1, 4, 28
"d:\Developer\Projects\React Native\innobox-mobile\src\store\reducers\index.js", "JavaScript", 12, 0, 0, 1, 3, 16
"d:\Developer\Projects\React Native\innobox-mobile\src\store\reducers\settingsReducer.js", "JavaScript", 15, 0, 0, 1, 3, 19
"d:\Developer\Projects\React Native\innobox-mobile\src\store\reducers\tabReducer.js", "JavaScript", 13, 0, 0, 1, 4, 18
"d:\Developer\Projects\React Native\innobox-mobile\src\utils\openAiApi.js", "JavaScript", 42, 0, 0, 1, 3, 46
"d:\Developer\Projects\React Native\innobox-mobile\src\utils\ticketExtractor.js", "JavaScript", 5, 0, 0, 1, 1, 7
"d:\Developer\Projects\React Native\innobox-mobile\styles\globalStyles.js", "JavaScript", 47, 0, 0, 2, 2, 51
"d:\Developer\Projects\React Native\innobox-mobile\testApp.js", "JavaScript", 121, 0, 0, 5, 11, 137
"Total", "-", 1663, 2, 15211, 43, 174, 17093